Instr ID,Plume ID,Start Time,Stop Time
LI7000-1-CO2-nan,1,2019-08-20 17:39:08,2019-08-20 17:39:10
LI820-1-CO2-nan,1,2019-08-20 17:39:08,2019-08-20 17:39:10
SBA5-1-CO2-nan,1,2019-08-20 17:39:08,2019-08-20 17:39:10
Vaisala-1-CO2-nan,1,2019-08-20 17:39:08,2019-08-20 17:39:10
CLD64-1-NOx-nan,1,2019-08-20 17:39:08,2019-08-20 17:39:10
CAPS-1-NO2-nan,1,2019-08-20 17:39:08,2019-08-20 17:39:10
AE33-1-BC-nan,1,2019-08-20 17:39:08,2019-08-20 17:39:10
MA300-1-BC-nan,1,2019-08-20 17:39:08,2019-08-20 17:39:10
LI7000-1-CO2-nan,2,2019-08-20 17:40:25,2019-08-20 17:40:36
LI820-1-CO2-nan,2,2019-08-20 17:40:25,2019-08-20 17:40:36
SBA5-1-CO2-nan,2,2019-08-20 17:40:25,2019-08-20 17:40:36
Vaisala-1-CO2-nan,2,2019-08-20 17:40:25,2019-08-20 17:40:36
CLD64-1-NOx-nan,2,2019-08-20 17:40:25,2019-08-20 17:40:36
CAPS-1-NO2-nan,2,2019-08-20 17:40:25,2019-08-20 17:40:36
AE33-1-BC-nan,2,2019-08-20 17:40:25,2019-08-20 17:40:36
MA300-1-BC-nan,2,2019-08-20 17:40:25,2019-08-20 17:40:36
LI7000-1-CO2-nan,3,2019-08-20 17:41:13,2019-08-20 17:41:14
LI820-1-CO2-nan,3,2019-08-20 17:41:13,2019-08-20 17:41:14
SBA5-1-CO2-nan,3,2019-08-20 17:41:13,2019-08-20 17:41:14
Vaisala-1-CO2-nan,3,2019-08-20 17:41:13,2019-08-20 17:41:14
CLD64-1-NOx-nan,3,2019-08-20 17:41:13,2019-08-20 17:41:14
CAPS-1-NO2-nan,3,2019-08-20 17:41:13,2019-08-20 17:41:14
AE33-1-BC-nan,3,2019-08-20 17:41:13,2019-08-20 17:41:14
MA300-1-BC-nan,3,2019-08-20 17:41:13,2019-08-20 17:41:14
